index,input,expected_answer,model_response,dataset,task_type,question_valid,reference_answer_correct,answer_correct,reasoning_correct,judge_evidence,parse_status,raw_output,finish_reason,error,time_seconds,manual_answer_correct,audit_comment,audit_status,manual_reasoning_correct
6404,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,"Reasoning:
Today, Julie read 12 x 2 = <<12*2=24>>24 pages.
So, she has read 12 + 24 = <<12+24=36>>36 pages.
Therefore, she has 120 - 36 = <<120-36=84>>84 pages left to read.
Thus, she should read 84/2 = <<84/2=42>>42 pages tomorrow.

Final Answer:
42",gsm8k,math_reasoning,TRUE,TRUE,TRUE,TRUE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": true
}",stop,,1.07,TRUE,Both the answer and the reasoning is correct,Audited,TRUE
9897,"Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?",50,"Reasoning:
Diane bought 20 + 15 = <<20+15=35>>35 apples.
So, they bought 35 + 15 = <<35+15=50>>50 apples altogether.

Final Answer:
50",gsm8k,math_reasoning,TRUE,TRUE,TRUE,TRUE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": true
}",stop,,0.88,TRUE,Both the answer and the reasoning is correct,Audited,TRUE
20065,Can you use the T-Mobile tuesdays app if you aren't a T-Mobile customer?,No,"Reasoning:
The T-Mobile Tuesdays app is a free app that offers free T-Mobile customers a free taco from Taco Bell on Tuesdays. The app is only available to T-Mobile customers.

Final Answer:
No",StrategyQA,commonsense_reasoning,TRUE,TRUE,TRUE,TRUE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": true
}",stop,,17.01,TRUE,both the answer and the reasoning is correct,Audited,TRUE
10430,"If A^2 + B^2 = 30 and AB = 10, what is the value of the expression (A - B)^2 + (A + B)^2?

Choices:
A. 10
B. 20
C. 30
D. 60
E. 70",60,"Reasoning:
(A - B)^2 + (A + B)^2 = A^2 - 2AB + B^2 + A^2 + 2AB + B^2 = 2(A^2 + B^2) = 2(30) = 60
The answer is D.

Final Answer:
60",AQUA-RAT,math_reasoning,TRUE,TRUE,TRUE,TRUE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": true
}",stop,,1.21,TRUE,both the answer and the reasoning is correct,Audited,TRUE
8137,Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Yes,"Reasoning:
The Stanley Cup Finals are the championship series of the National Hockey League. The Stanley Cup Finals are played in a best-of-seven series. The Stanley Cup Finals are played in a neutral location. Rock in Rio is a music festival held in Rio de Janeiro, Brazil. The Stanley Cup Finals are played in a hockey arena. Rock in Rio is held in a large outdoor stadium.

Final Answer:
Yes",StrategyQA,commonsense_reasoning,TRUE,TRUE,TRUE,TRUE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": true
}",stop,,9.67,TRUE,the answer is correct and the reasoning is reliable,Audited,TRUE
27275,"If X is invested in a bank at a rate of simple interest of y% p.a. for two years, then the interest earned is 600. if X is invested at y% p.a., for two years when the interest is compounded annually, the interest is 615. What is the value of X?

Choices:
A. 8000
B. 6000
C. 5000
D. 4000
E. 3000",6000,"Reasoning:
Let the principal be x.
Interest for 2 years at simple interest = 600
x*2*y/100 = 600
x*y = 3000........(1)
Interest for 2 years at compound interest = 615
x*(y/100)^2 = 615
x*y^2/10000 = 615
x*y^2 = 61500........(2)
Dividing (2) by (1), we get
y = 20
Putting y = 20 in (1), we get
x*20 = 3000
x = 150
Answer: B

Final Answer:
6000",AQUA-RAT,math_reasoning,TRUE,TRUE,TRUE,FALSE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": false
}",stop,,22.62,TRUE,answer is correct but the reasoning is not,Audited,FALSE
12035,"Terez has 44 cows on his farm.  50 percent of the cows are female, and 50 percent of the females are pregnant.  How many pregnant female cows does Terez have?",11,"Reasoning:
First find the number of female cows: 44 cows / 2 = <<44/2=22>>22 cows
Then find the number of pregnant cows: 22 cows / 2 = <<22/2=11>>11 cows

Final Answer:
11",gsm8k,math_reasoning,TRUE,TRUE,TRUE,TRUE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": true
}",stop,,11.12,TRUE,both are correct,Audited,TRUE
8241,Sue borrowed 15 books and 6 movies. She returned 8 books. She then returned a third of the movies to the library and checked out 9 more books. How many movies and books does Sue now have?,20,"Reasoning:
Sue returned 15 - 8 = <<15-8=7>>7 books.
She returned 6 / 3 = <<6/3=2>>2 movies.
Sue now has 7 + 9 = <<7+9=16>>16 books.
Sue now has 6 - 2 = <<6-2=4>>4 movies.
Sue now has 16 + 4 = <<16+4=20>>20 items.

Final Answer:
20",gsm8k,math_reasoning,TRUE,TRUE,TRUE,TRUE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": true
}",stop,,5.6,TRUE,both the answer and the reasoning is correct,Audited,TRUE
5405,"Pavan travelled for 11 hours. He covered the first half of the distance at 30 kmph and remaining half of the distance at 25 kmph. Find the distance travelled by Pavan.

Choices:
A. 208 km
B. 637 km
C. 342 km
D. 300 kilometre
E. 543 km",300 kilometre,"Reasoning:
Let the total distance travelled by Pavan be x km.
Then, time taken to cover first half of the distance = x/2/30 = x/60
Time taken to cover the remaining half of the distance = x/2/25 = x/50
Total time taken = x/60 + x/50 = 11 hours
x/60 + x/50 = 11
11x/300 = 11
x = 300 km
Answer: D

Final Answer:
300 kilometre",AQUA-RAT,math_reasoning,TRUE,TRUE,TRUE,TRUE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": true
}",stop,,38.67,TRUE,answer and the reasoning is correct,Audited,TRUE
2213,"If the sum of two numbers is 18 and the sum of their squares is 220, then the product of the numbers is

Choices:
A. 40
B. 44
C. 52
D. 88
E. 90",52,"Reasoning:
Let the numbers be x and y.
Then, x + y = 18 and x2 + y2 = 220.
(x + y)2 = x2 + y2 + 2xy
= 324 = 220 + 2xy
=> 2xy = 104
=> xy = 52.
Answer: C

Final Answer:
52",AQUA-RAT,math_reasoning,TRUE,TRUE,TRUE,TRUE,,OK,"{
  ""question_valid"": true,
  ""reference_answer_correct"": true,
  ""answer_correct"": true,
  ""reasoning_correct"": true
}",stop,,26.68,TRUE,both are correct!,Audited,TRUE
